,nome,coordenadas
Afeca,Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto,"(-15.911257322468854, -47.72131987698071)"
Agrifam,Associação Agrícola do Distrito Federal e Ride,"(-16.033332269528525, -48.02194559697238)"
Amista,"Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno","(-15.763959936767963, -47.49298390178075)"
Aspaf,Associação dos Produtores da Agricultura Familiar,"(-15.680704256671605, -48.204481263228885)"
AsSpag,Associação dos Produtores Rurais de Alexandre Gusmão,"(-15.756719533443205, -48.12660143651946)"
Asphor,Associação dos Produtores de Hortigranjeiros do Distrito Federal,"(-15.796015013316007, -47.95031196939317)"
Asproc,Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno,"(-15.671024486215536, -48.13831575695135)"
Aspronte,Associação dos Produtores Rurais Novo Horizonte Betinho,"(-15.598206767692025, -48.124069244099275)"
Astraf,Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha,"(-15.542807850627778, -48.02983303362831)"
Coopbrasil,Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil,"(-16.25490982477886, -47.95523828036136)"
Cooper-Horti,Cooperativa Agrícola Buriti Vermelho,"(-15.898669835597419, -47.40685178022046)"
Prorural,Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região,"(-15.44566180715857, -47.61898200913563)"
Coopebraz,Cooperativa Agropecuária da Região de Brazlândia,"(-15.598018611676984, -48.11806404508394)"
Coopermista,Cooperativa de Agricultura Familiar Mista do Distrito Federal,"(-15.764173354290381, -47.49167060443745)"
Rede Terra,Cooperativa dos Agricultores Familiares Ecológicos do Cerrado,"(-16.749588317495615, -47.61598414282499)"
Cootaquara,Cooperativa Agrícola da Região de Planaltina,"(-15.633270200233193, -47.52254805570911)"
Cooperbrasília,"Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde","(-15.938126193908477, -47.82535903093143)"
